id,price,accommodates,bedrooms,bathrooms,host_is_superhost,host_has_profile_pic
241032,85.0,4,1.0,1.0,f,t
953595,150.0,4,1.0,1.0,t,t
3308979,975.0,11,5.0,4.5,f,t
7421966,100.0,3,0.0,1.0,f,t
278830,450.0,6,3.0,2.0,f,t
5956968,120.0,2,1.0,1.0,f,t
1909058,80.0,2,1.0,1.0,t,t
856550,60.0,2,1.0,1.0,t,t
4948745,90.0,2,1.0,1.0,f,t
2493658,150.0,4,1.0,1.0,t,t
175576,95.0,2,1.0,1.0,t,t
4454295,99.0,2,1.0,1.0,f,t
3883392,245.0,4,2.0,1.0,t,t
8889257,165.0,5,2.0,1.0,f,t
5680462,461.0,16,6.0,3.5,f,t
8988178,109.0,5,2.0,1.0,f,t
3245876,66.0,2,1.0,1.0,f,t
4933447,99.0,2,1.0,1.0,t,t
7735464,200.0,2,1.0,2.0,f,t
6291829,700.0,10,5.0,3.5,f,t
9218403,110.0,1,1.0,1.0,f,t
4125779,99.0,3,1.0,1.5,f,t
8942678,450.0,8,4.0,2.0,f,t
10106055,75.0,2,1.0,1.0,f,t
6362362,600.0,5,3.0,2.5,f,t
3544550,450.0,8,3.0,2.5,f,t
9025039,150.0,5,2.0,1.0,f,t
3200646,45.0,2,1.0,1.0,t,t
8859380,300.0,6,3.0,2.0,f,t
4520099,80.0,3,1.0,1.0,f,t
2481869,175.0,4,1.0,1.0,t,t
1110749,325.0,6,3.0,1.5,f,t
5978498,175.0,4,3.0,3.0,f,t
5021081,222.0,7,4.0,3.5,f,t
1686930,159.0,4,2.0,1.0,f,t
7680289,125.0,4,1.0,1.0,f,t
7207641,348.0,8,3.0,3.0,f,t
5062445,45.0,1,1.0,1.0,f,t
8925878,150.0,4,1.0,1.0,f,t
6389657,80.0,2,0.0,1.0,t,t
4218733,110.0,4,1.0,1.0,f,t
2715623,148.0,3,1.0,1.0,f,t
1392332,350.0,4,2.0,1.5,f,t
7308567,150.0,3,1.0,1.5,t,t
6575380,150.0,5,1.0,1.0,f,t
6004058,100.0,2,0.0,1.0,f,t
9550869,349.0,10,4.0,3.0,f,t
8515408,110.0,2,0.0,1.0,f,t
5383192,160.0,4,1.0,1.0,f,t
1112092,130.0,4,1.0,1.0,f,t
7772661,99.0,2,0.0,1.0,f,t
9254900,100.0,2,0.0,1.0,f,t
7714294,137.0,3,1.0,1.0,f,t
10310373,20.0,3,1.0,1.0,f,t
9368342,150.0,2,1.0,1.5,f,t
6361863,145.0,2,1.0,1.0,f,t
8105221,80.0,2,1.0,1.0,f,t
3269390,95.0,2,0.0,1.0,t,t
4566393,400.0,4,3.0,2.5,f,t
9282409,85.0,2,1.0,2.0,f,t
8095168,70.0,2,1.0,1.0,f,t
2746782,90.0,2,0.0,1.0,t,t
6424982,80.0,2,1.0,1.0,f,t
762029,60.0,2,1.0,1.0,t,t
8988281,175.0,4,2.0,1.0,f,t
7077910,170.0,6,3.0,2.5,f,t
3772674,85.0,2,1.0,1.0,f,t
7021906,465.0,12,5.0,3.5,t,t
7618605,175.0,2,1.0,1.0,f,t
10234558,50.0,2,1.0,1.0,f,t
7021702,60.0,2,1.0,1.0,f,t
7680439,59.0,2,1.0,1.0,f,t
4258515,47.0,4,1.0,1.0,f,t
1148517,145.0,4,2.0,1.0,f,t
2487892,70.0,2,1.0,1.0,f,t
3038772,55.0,2,1.0,1.0,f,t
699460,95.0,4,1.0,1.0,t,t
4085439,125.0,2,1.0,1.0,f,t
8053990,65.0,2,1.0,1.0,f,t
7011773,25.0,1,1.0,1.0,f,t
2467550,40.0,4,0.0,1.0,f,t
2686374,149.0,6,3.0,1.0,f,t
1956274,125.0,2,1.0,1.5,t,t
8537192,55.0,2,1.0,0.5,f,t
5919096,129.0,4,1.0,1.0,t,t
6516529,100.0,2,1.0,1.0,f,t
3294243,150.0,4,2.0,2.0,t,t
10210971,50.0,1,1.0,1.0,f,t
3584790,99.0,6,2.0,1.0,f,t
1266459,150.0,2,1.0,1.5,f,t
9098059,105.0,4,1.0,1.0,f,t
408526,218.0,7,3.0,4.0,f,t
4118282,80.0,5,2.0,1.5,f,t
6813483,126.0,2,1.0,1.0,f,t
6590264,115.0,4,1.0,1.0,f,t
2650482,225.0,4,2.0,2.0,f,t
20927,89.0,2,1.0,1.0,t,t
4395578,225.0,8,3.0,2.5,f,t
4995903,50.0,1,0.0,1.0,f,t
5549211,134.0,4,1.0,1.0,t,t
8240758,75.0,2,1.0,1.0,f,t
6856295,65.0,2,1.0,1.0,f,t
6881188,375.0,6,3.0,2.5,f,t
1579615,97.0,3,1.0,1.0,t,t
3766866,145.0,2,1.0,1.0,t,t
2406966,129.0,5,2.0,1.0,t,t
4872699,197.0,6,3.0,1.5,f,t
5470629,120.0,2,1.0,1.0,t,t
2950213,200.0,4,1.0,1.0,t,t
9015088,135.0,5,2.0,2.0,f,t
3979496,70.0,2,1.0,1.0,t,t
7501919,150.0,2,1.0,1.0,f,t
4732995,200.0,3,1.0,1.0,f,t
7134759,60.0,2,1.0,1.0,f,t
4532538,180.0,5,3.0,3.0,f,t
7534398,69.0,3,1.0,1.0,f,t
9387189,90.0,3,0.0,1.0,f,t
6337492,80.0,2,1.0,1.0,f,t
10231701,65.0,2,1.0,1.5,f,t
1609922,150.0,5,2.0,1.5,t,t
4236723,195.0,6,2.0,1.5,f,t
7843837,149.0,4,1.0,1.0,f,t
3076065,224.0,5,2.0,3.0,t,t
6423204,115.0,3,2.0,1.0,f,t
8338849,55.0,2,1.0,1.0,f,t
6401209,338.0,8,4.0,2.5,t,t
20928,79.0,2,1.0,1.0,t,t
3344977,80.0,2,1.0,1.0,t,t
7604621,85.0,2,0.0,1.0,f,t
3303978,80.0,2,1.0,1.0,t,t
7067082,49.0,3,1.0,1.0,t,t
3121829,100.0,4,3.0,2.5,f,t
2539881,79.0,2,1.0,1.0,f,t
3678718,75.0,2,0.0,1.0,t,t
4694479,57.0,2,1.0,1.0,t,t
6646843,99.0,4,1.0,1.0,f,t
1364440,55.0,1,1.0,1.0,f,t
1781873,96.0,2,1.0,1.0,f,t
4138423,99.0,4,1.0,1.0,f,t
5562674,79.0,4,2.0,1.0,f,t
1789341,115.0,2,1.0,1.0,f,t
4672934,350.0,10,3.0,2.5,t,t
4550099,295.0,6,3.0,3.0,f,t
1198799,70.0,2,1.0,1.5,t,t
5308429,53.0,2,1.0,1.0,t,t
2769088,110.0,4,2.0,1.0,f,t
7603135,225.0,4,2.0,1.0,f,t
9374365,35.0,2,1.0,1.5,f,t
6106498,55.0,2,1.0,1.0,f,t
9331449,45.0,2,1.0,1.5,f,t
8799162,79.0,2,1.0,1.0,f,t
4317390,133.0,8,2.0,1.0,f,t
3884851,65.0,2,1.0,1.0,t,t
3155785,61.0,1,1.0,2.0,f,t
9368517,200.0,4,3.0,2.0,f,t
5643240,70.0,2,1.0,1.0,f,t
5042014,52.0,1,1.0,1.0,f,t
7724630,50.0,2,1.0,1.0,f,t
9449437,275.0,8,4.0,2.5,f,t
3053237,149.0,2,1.0,1.0,t,t
8132347,199.0,8,2.0,2.0,f,t
63733,89.0,2,1.0,1.0,f,t
2039149,225.0,10,3.0,2.0,f,t
227636,120.0,3,1.0,1.0,t,t
3689119,85.0,2,0.0,1.0,t,t
1179538,80.0,4,1.0,1.5,f,t
6823781,89.0,3,1.0,1.0,f,t
2284536,99.0,4,1.0,1.0,f,t
5143441,110.0,4,1.0,1.0,t,t
5749958,180.0,6,2.0,1.0,f,t
9116815,150.0,4,2.0,1.0,f,t
7731836,70.0,4,1.0,1.0,f,t
10262971,70.0,2,1.0,1.0,f,t
1407502,75.0,1,1.0,1.0,f,t
8817038,85.0,4,2.0,1.0,f,t
4449303,80.0,2,1.0,1.0,t,t
8255615,90.0,3,1.0,1.0,f,t
4053092,80.0,2,1.0,1.0,t,t
6886633,75.0,2,0.0,1.0,f,t
8820414,80.0,3,2.0,1.0,t,t
